No.;komentar
297; Saya pake buat rambut saya, biar lembut dan hitam
298; WANGI nya apalagi enak kalau buat pijat
299; Mantapp banget pokoknyaa
300; Bagus buat urut sesuai yang diharapkan .  Sama dengan di minimarket barangnya ori jga
301; Sy udh lama pake minyak jaetun.pokonya Nex order lg
302; Barang nya sangat ok dan sempurna
303; Bagus minyak zaitunnya wangi banget suka, teksturnya agak cair, dan mudah digunakan untuk menghapus maskara.
304; Ampuh juga buat pijiitt
305; Bagussssss bangetttttt gakkkk nyesell!!!
306; Barang okee.
307; Kualitas sesuai harga
308; Recomended say
309; Bisa dipake buat ngilangin pegal ditubuh
310; Direkomendasikan untuk yang punya kulut kering
311; Dari dulu selalu pakai minyak zaitun ini ..
312; Sudah sampai warna kuning nya semoga cucok meong dan manjalita
313; Suka wangi nya melembabkan bagus untuk tambahan Lulur
314; Produk original, bagus harganya murah, dan kualitas bagus
315; Wangi hehe gudlah buat anak remaja mana murah bagus bagus bagus
316; Buat campuran lulur atau ga sebagai pengganti minyak rambut ini bagus loh
317; Botolnya manis, wangi.  Penjual Kusuka.tksh .
318; Pkoknya best of the best..
319; Barang aman....wanginya ga enak...terimakasih
320; Produk baik
321; Wangi nya enak bgt.... makasiii yaaa
322; bagus khasiatnya.  Bikin kulit lembut
323; Oke banget wanginya enak syukaa sekali okeeee
324; Melembabkan kulit dan banyak manfaatnya.
325; Kualitas sagat baik, produk ori, harga terjangkau,
326; Wanginya enak beud lembut d kulit pokonya sukaaaaaa
327; Barangya bagus
328; Okee banget pokoknyaa
329; Mantaapp polll
330; Produk Sangat Baik. Produk asli. Harga produk Sangat Baik.
331; Enak Bgt Wangi Nya .. Kualitas ok
332; Bagus realpict wanginya juga enak pokoknya the best banget lah
333; Bagus banget, wangi banget, hehehehe
334; Sukaaaa bangetttttt... Barangnya bagussss..
335; Enak banget aromanya untuk yg ke 2 kali oeder.  Nanti klo habis bakal order lg deeh
336; Bermanfaat banget barangnya,
337; Bagus semoga bermanfaat dan ampuh
338; Warna cocok di aku terimakasih
339; produk bagus harga murah
340; minyak zaitun nya wangi ya dan ada ukuran kecil dan murmer juga harga nya.
341; Kualitas produk sangat baik .  Produk asli.  Produk asli.  Harga produk sangat baik .
342; Wanginyaaaaa , beeeh wangi banget serasa jadi tuan putri wkwkwkwk buat lulur enak banget wanginya nyerep ketulang tulang sumsum belakang wkwkwk
343; Selalu top produk herborist ,,
344; wangi nya enak , murah
345; Minyak zaitun wanginya harum
346; Baguss, terimakasihh
347; Sudah d.  Coba dan wangi bangettzzzz .
348; Mantull
349; Pas bangett buat kulitku yang kering
350; Baguussssssssss ssssBaguusssssssss BaguusssssssssBaguussssssssssBaguussssss Baguussssss
351; Aaaaaa suka banget karena murah banget baka beli lagi !!!!!!
352; Bagussss kakkkkkkkkkkkk
353; Bikin kulit lebih keliatan sehat gituu
354; Enak banget dipakee, gak lengket ditangan
355; Wanginya enak ga nyengat dihidung
356; Wanginyaa lebih santaii
357; Gk terlalu oily .. Dan ringan
358; Baunya khas zaitun herborist
359; Enak ringan diaplikasikan..
360; Lucu banget kecil imut pokoknya suka terus wangi lagi
361; Murceeeee
362; Bagussss
363; Bagusssss bagusssss brnggg nya
364; Sesuai keinginan .... wangi minyak zaitun nya ... terima kasih kak
365; pokoke mantaaaaaaaaaaaaaaaaap
366; Minyak dengan sejuta manfaat.  Dengan ukurannya yang kecil jadi bisa dibawa kemana saja
367; Niceee.. Mantapppp
368; Mantap. Cepet check out
369; Wanginyaa nagihhh hihi
370; Semoga membantu perawatan kulit
371; suka banget dari dulu dulu pakai ini , recomended
372; cair mudah menyerapppp seneng bangetttttttt
373; Suka banget
374; Produk baik, kualitas oke
375; Wangi nya enak , alhamdulillah terimakasih
376; Work banget
377; Berkhasiat bangett buat kulitnya yang sering kering
378; Ngebantu ngelembabin kulitku
379; Wanginya soft dan tahan juga
380; Oke banget pokoknyaaaaa.....
381; Produk bagusssss Asli¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¨¨¨¨¨¨¨¨¨¨
382; Wangi banget
383; Rekomendasi bangett nihhh menyarankan inimahh wangii beutt ,
384; Wangi banget ,, sama kayak lulurnya.aman deh semua.
385; Mantul |||||||||||||||||||||||||||||||||  ,.  ... .....
386; ok ok ok
387; Wangi nya enak , kaya herborist minyak atsiri yang kenanga .  Beli 2 sekaligus utk ngelembabin kulit mengurangi risiko stretch mark di perut .
388; Pokoknya mantaappp
389; Produknya bagus.  Sengaja beli yg kecil karena pernah beli yg gede , ga terlalu sering kepake .  Herboristnya enak wanginya
